file_name,station_name,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,ROItotal,ROIcover
SMA09834_20230626_140000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3484.0,0.0014477647,0.00015244514,-0.012902641198277436,3.0022964497214217,54.911041259765625,-28.32257,0.17040061950683594,0.038359374,0.9966282795986089,0.0048,9,3.4476512670516968,0.0048000000000000004,0.032,0.15008004268943437,0.0004227177,1.1877229e-07,0.9423571760270864,2.94020327135904,5,54.827022562296335,-38.17297752321096,-39.87529136277859,1.7023138395676298,0.8711282811951738,6.509082385164344e-05,0.020935409681946848,0.0186465138009545,0.1773170995599228,8.524284096503555,1.7241903251640087,296.76608,-0.15418822,0.7328196,0.21366355,0.15657684,2671.86775,0.35301545,2.073958667553487,0.2281457382307556,0.12858550201132912,0.1276942940997103,0.19903948772678762,0.12782338080309497,239.541015625,5.489152669906616,0.002068811699573106,0.07673385416666667,0.014989947610784838,0.6703892,0.33331692380670574,4.959517955780029,6.4314394,41694.740207635965,0.9941337751224637,0.4879233727968153,1.2022376,29,0.14809981990394877
SMA09834_20230626_150000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3549.9,0.0011304318,0.00015077651,-0.01175338617140169,2.996068820511755,54.84058856964111,-28.324486,0.1335582733154297,0.038350917,0.9969753238541836,0.0016,3,3.175341784954071,0.0016,0.032,0.05002668089647812,0.00042486246,1.1400601e-07,0.8177119762109881,2.4470251628516935,4,54.783760720574215,-38.21623910884288,-39.91576973841529,1.6995306295724149,0.8772895405531504,0.00011429927338157952,0.19725053408609716,0.17986971916887462,0.17782471459050442,28.69140527343772,3.180496820008862,297.18958,-0.13608968,0.7604244,0.2098508,0.15957567,2669.6685,0.35430497,2.0745262100584245,0.22642004498385598,0.1334783679500862,0.12757041850891904,0.24119530416221985,0.1283403231723586,240.509765625,5.590788125991821,0.002163653948772679,0.07052278645833335,0.015087708138681261,0.66713935,0.33332041629425174,5.0791754722595215,6.4700947,42833.95663514747,0.9945690566673875,0.49398792001035313,1.2035627,55,0.3095400880469584
SMA09834_20230626_160000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3641.9166666666665,0.0014374106,0.00015436253,-0.018624198289990138,3.1869959599999595,54.96376037597656,-28.268394,0.1903080940246582,0.03859938,0.9947690461528359,0.012266666666666667,23,4.7854068875312805,0.012266666666666667,0.046,0.26680896478121663,0.00043046527,1.1654683e-07,0.8562135688012634,2.7143446122543398,6,54.89057005153697,-38.109429522126845,-39.902004893162676,1.7925753710358308,0.8770151326791071,9.133533026761675e-05,0.01703481991587419,0.01358765086332725,0.17983841401478118,19.69370597613605,2.6337628681839593,296.3885,-0.0998206,0.8184784,0.20940274,0.17139162,2673.6125,0.3633553,2.0618063191900715,0.2611596600635995,0.1338067482144323,0.1263423826040555,0.22572038420490928,0.12729080509605123,238.54296875,5.605008602142334,0.0022543273078975455,0.07216226851851852,0.015185468666577683,0.66698277,0.3333188125628415,5.02065896987915,6.4683194,42964.1404887141,0.994442465249449,0.5004368824464843,1.2034838,31,0.45128235058697974
SMA09834_20230626_170000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3762.0166666666664,0.0016942451,0.00014510234,-0.0028927047272264577,3.008961414929583,54.722418785095215,-28.341438,0.12568187713623047,0.038276136,0.9967554553422197,0.0037333333333333333,7,3.547724187374115,0.0037333333333333333,0.032,0.11672892209178228,0.0004228393,1.0487119e-07,0.7266548416314336,2.189255076398199,8,54.62074597036684,-38.37925404853359,-40.040136781870864,1.6608827333372744,0.8841709868162069,7.352655805681341e-05,0.005400224056696934,0.004035665940366973,0.17945817708909173,14.621408142191957,2.280364180321697,296.73047,-0.0537311,0.89801747,0.19112663,0.17163505,2666.8365,0.33777052,2.0745437227138206,0.22618795300120437,0.12989902306871356,0.12675212494282664,0.22038420490928495,0.12714280949839915,238.265625,5.439245104789734,0.0017425960512273213,0.06448421717171718,0.012545934413374265,0.65672797,0.33332232341490453,5.159050941467285,6.5131893,44609.87558247865,0.9948988961987197,0.5132164851687917,1.198592,22,0.20479672491995732
SMA09834_20230626_180000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3744.6833333333334,0.0013679492,0.00015203298,-0.009305215073288483,2.990332171731329,54.893107414245605,-28.188328,0.12137794494628906,0.03895683,0.9971803868318168,0.0021333333333333334,4,3.2465922832489014,0.0021333333333333334,0.032,0.06670224119530416,0.0004314973,1.1079632e-07,0.7059881359911692,2.0822111491861994,8,54.820062707294746,-38.17993715774968,-39.83311347086106,1.6531763131113806,0.8836000044153424,6.930869095422842e-05,0.0038716377752671116,0.002480600826570978,0.177007666039255,13.522232582288451,2.115221712144665,296.61768,-0.057632186,0.8910166,0.20184657,0.17984864,2686.16225,0.35394838,2.0750808679623374,0.22449866051614736,0.12870043510385026,0.12580042689434365,0.21451440768409819,0.12620689367662752,236.51171875,5.415237545967102,0.001340298159018143,0.057206845238095244,0.010004160688067271,0.66767347,0.33332276172344183,5.179363250732422,6.509645,44204.01728790757,0.9949333532713354,0.5076066716843103,1.1990724,13,0.013132003735325507
SMA09834_20230626_190000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3705.383333333333,0.0011153244,0.00015493517,-0.006566967039829305,2.9971395127269376,54.95682716369629,-28.135548,0.13428688049316406,0.03919428,0.9966489061122492,0.0032,6,3.5304808616638184,0.0032,0.032,0.10005336179295624,0.00043358188,1.1433424e-07,0.7168384284579125,2.08782931064162,7,54.897475465391004,-38.10252449074676,-39.76823250350742,1.6657080127606605,0.8818672600987162,0.00034339194397092765,0.14435488762202142,0.10265689722875704,0.18817831152425724,25.011408294535332,3.5193536316511396,297.0954,-0.06688062,0.874624,0.20736247,0.1813642,2674.8715,0.36210084,2.0752929359629393,0.22385590308595232,0.12741154256629178,0.128224338694923,0.23425827107790823,0.12810894977321238,240.076171875,5.548639297485352,0.0022845517609391677,0.07699522005772007,0.016293421316070478,0.668309,0.3333225561133683,5.169731616973877,6.4988093,43675.43091253672,0.9948819112032652,0.5012510670783105,1.2018782,39,0.3068303094983991
SMA09834_20230626_200000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3792.0333333333333,0.0016100848,0.00016288359,-0.005718098424258388,2.9873940836847312,55.20794868469238,-27.906818,0.13615846633911133,0.040240105,0.9969577343732265,0.0032,6,3.539034128189087,0.0032,0.032,0.10005336179295624,0.00044853837,1.1697721e-07,0.6686160247493014,1.975910035593976,8,55.11920841916912,-37.88079190122732,-39.52879621627554,1.6480043150482189,0.8858986863084078,0.00026489275067320683,0.16571885314841683,0.12807766982132018,0.18618681297273576,34.08592333885799,3.758935772476393,297.2218,-0.03364,0.93490964,0.21303573,0.19916916,2669.7205,0.37940332,2.0754312714267202,0.22338099559942998,0.12653312535916592,0.12798254307059004,0.2289220917822839,0.12781087413287084,239.517578125,5.553523302078247,0.0017853271744930634,0.06484249465811967,0.012969563367592099,0.6620001,0.33332343239696155,5.21213436126709,6.524043,44740.24134655238,0.9950497304089367,0.5089112277074896,1.2023729,50,0.2873407483991462
SMA09834_20230626_210000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3693.7833333333333,0.0012474244,0.00016727162,-0.011133300008401624,2.982794982632525,55.29503345489502,-27.893654,0.1433119773864746,0.04030114,0.9970117682463825,0.0016,3,3.0486321449279785,0.0016,0.032,0.05002668089647812,0.00045018646,1.2391658e-07,0.6950128131011806,2.0037921390279596,7,55.23265445462816,-37.76734569553798,-39.42254658912418,1.6552008935861977,0.881990628986935,0.00012211013838636653,0.0598569500006223,0.04988513108365655,0.18180690531514632,25.209249718891027,3.049805543556925,297.07513,-0.06730698,0.87387514,0.22523986,0.19683151,2683.07075,0.39111194,2.074969715948869,0.2248421104026832,0.12915195796732615,0.12685336941606953,0.22518676627534684,0.1271615695037353,238.30078125,5.519763231277466,0.0018353538553895412,0.07083125000000001,0.013490952849706353,0.6669167,0.3333229515737912,5.188424110412598,6.499603,43486.79731570412,0.994928396306932,0.4970030855054342,1.2015309,43,0.26378651947705445
SMA09834_20230626_220000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3725.25,0.0015678313,0.0001653967,-0.0135862953595338,2.992147195416736,55.26993751525879,-27.882504,0.14417076110839844,0.040352903,0.9970508700421793,0.0016,3,3.218075931072235,0.0016,0.032,0.05002668089647812,0.00044851546,1.2200884e-07,0.6872609198520179,1.988115006279562,7,55.18707659886553,-37.812923469103616,-39.455786975230446,1.6428635061268295,0.8826909423412485,9.117911296752101e-05,0.005047016741182131,0.0030769603696837455,0.1828280223056159,28.602650790112826,3.256883276488722,297.01416,-0.054972522,0.89578396,0.22064511,0.19765036,2669.20575,0.38674384,2.0748328656869686,0.2252902028075491,0.12778097036368113,0.1255169423692636,0.24706510138740662,0.1258118913420491,235.771484375,5.404723286628723,0.001262131470117396,0.05625694444444444,0.009450184363320875,0.6609827,0.33332308572062175,5.194926738739014,6.503985,43688.94385447999,0.9949562014080584,0.4997075247945548,1.1991005,17,0.021365561632870865
SMA09834_20230626_230000.wav,2023/Orlu_RNCFS/SM9834_682L_Bleu/Data/,3769.7833333333333,0.001091363,0.000187649,-0.01435879316459659,2.9869333662323685,55.781540870666504,-27.44148,0.19119787216186523,0.042454727,0.9967875972714506,0.0037333333333333333,7,3.3171844482421875,0.0037333333333333333,0.032,0.11672892209178228,0.00048076492,1.3558395e-07,0.6549906263978843,1.9254144536619429,6,55.73603141561954,-37.263968282808605,-38.89718452716894,1.6332162443603337,0.8855864422511747,7.711955595901543e-05,0.004220939658279632,0.002524966539797946,0.1772538239443192,17.72323645674057,2.444486634627133,297.23904,-0.05225447,0.90068096,0.25019032,0.22534165,2659.73475,0.4397029,2.075430839817958,0.22345463219026734,0.12820786470733112,0.12729169842963867,0.2214514407684098,0.12738460512273211,238.71875,5.411962866783142,0.001320495931163287,0.05512276785714286,0.00997157384543513,0.6616408,0.33332360222205654,5.220785140991211,6.522105,44503.53531310749,0.9950687871314585,0.5060216135347,1.1981149,13,0.008963113660618997
