station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Montségur_Soularac/SM6992_626E_Bleu/Data/,626_bleu_estive,1,158.551282051282,58.8558969086399,185,172.276422764227,40.9535828491107,185,179.051399491094,39.8822299907344,185,184.531516617853,34.9101217228746,185
2022/Montségur_Soularac/SM6992_626E_Bleu/Data/,626_bleu_estive,2,9580.6282051282,3.8931530111439,9581,9578.63617886178,11.9122704395476,9581,9568.32671755725,28.5977120326151,9574,9547.49942697058,61.5733371652478,9562
2022/Montségur_Soularac/SM6992_626E_Bleu/Data/,626_bleu_estive,3,333.948717948717,1.23928676652252,334,334.266260162601,1.369024279197,334,335.599491094147,3.1163852854511,335,336.551763657201,5.91320782238475,335
2022/Montségur_Soularac/SM6992_626E_Bleu/Data/,626_bleu_estive,4,528.846153846153,64.1630688814369,557,544.123983739837,44.599970765236,558,552.441730279898,43.778755453613,559,558.604991722908,39.2346762733563,564
2022/Montségur_Soularac/SM5802_626L_Bleu/Data/,626_bleu_lisiere,1,163.599999999999,53.8633920209263,185,183.080082135523,44.4070188135966,185,187.671421293937,38.7590297548422,185,186.857688391038,35.8897222174792,185
2022/Montségur_Soularac/SM5802_626L_Bleu/Data/,626_bleu_lisiere,2,9563.6,3.89422649572415,9564,9562.36960985626,11.2701993177107,9563,9555.80539989811,29.7259143866733,9562,9537.90733197556,64.564316653541,9555
2022/Montségur_Soularac/SM5802_626L_Bleu/Data/,626_bleu_lisiere,3,338.449999999999,1.45688022843334,338,339.100616016427,2.90791944760296,339,339.829342842587,4.46768152661575,340,339.866980651731,6.76679093964094,339
2022/Montségur_Soularac/SM5802_626L_Bleu/Data/,626_bleu_lisiere,4,537.5375,58.8954462904391,561,559.090349075975,48.834633261989,563,564.462557310239,43.3005937044924,564,563.320010183299,40.7185234698417,565
2022/Montségur_Soularac/SM5760_628E_Rouge/Data/,628_rouge_estive,1,174.637499999999,34.7340768374517,185,185.75,28.7713539094899,185,194.42225609756,28.4129867784825,185,197.48790425261,37.7111783238873,200
2022/Montségur_Soularac/SM5760_628E_Rouge/Data/,628_rouge_estive,2,9588.92499999999,5.92194013816417,9590,9584.17768595041,14.8725104874359,9586,9576.84654471544,29.5432167295247,9581,9569.80888719124,60.0034017154638,9574
2022/Montségur_Soularac/SM5760_628E_Rouge/Data/,628_rouge_estive,3,345.8125,0.708762125116742,346,346.254132231404,2.24424964707195,346,346.218495934959,4.48280628728623,346,345.433537051184,8.13583751640205,346
2022/Montségur_Soularac/SM5760_628E_Rouge/Data/,628_rouge_estive,4,555.125,37.8627042747873,567,567.353305785124,31.6364480377252,567,576.637703252032,31.8399092068775,568,579.239877769289,42.8126779971295,580
2022/Montségur_Soularac/SM7107_628L_Rouge/Data/,628_rouge_lisiere,1,191.662337662337,43.4390483230314,185,192.040567951318,44.9861188561347,185,199.952647657841,45.6830297132782,216,205.308309966862,41.0529541181752,216
2022/Montségur_Soularac/SM7107_628L_Rouge/Data/,628_rouge_lisiere,2,9516.16883116883,5.97267065371345,9516,9516.47870182555,17.6039956261761,9518,9516.7566191446,43.6929882472122,9520,9513.06665816976,93.0878590096524,9521
2022/Montségur_Soularac/SM7107_628L_Rouge/Data/,628_rouge_lisiere,3,350.441558441558,1.5994601889185,350,351.180527383367,2.85516970465043,351,352.136965376782,4.57146000699366,352,351.508284476166,7.18733486779275,352
2022/Montségur_Soularac/SM7107_628L_Rouge/Data/,628_rouge_lisiere,4,575.246753246753,47.8086434189727,569,576.316430020283,49.4758046654707,569,585.505091649694,50.7372778044287,601,590.873438694876,45.8226993003794,603
