station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Bethmale_Eychelle/SM4564_415E_Bleu/Data/,415_bleu_estive,1,162.602564102564,33.279831323379,169,159.215447154471,38.5573999994651,185,173.606523955147,40.7750488136569,185,188.280198776758,46.3582848724043,185
2022/Bethmale_Eychelle/SM4564_415E_Bleu/Data/,415_bleu_estive,2,10398.2435897435,13.5978749258241,10397.5,10395.5975609756,36.7875221055869,10396,10392.1717635066,79.1558068060733,10392,10391.7361111111,166.773350598011,10389
2022/Bethmale_Eychelle/SM4564_415E_Bleu/Data/,415_bleu_estive,3,329.653846153846,0.859739422015333,330,330.394308943089,0.857183970824653,330,331.567787971457,3.01926233639298,331,333.18374108053,5.32390036122986,333
2022/Bethmale_Eychelle/SM4564_415E_Bleu/Data/,415_bleu_estive,4,545.564102564102,36.3369522110685,553,542.235772357723,42.0951460618016,569,558.749235474006,44.9249834791057,571,575.904816513761,51.2132167021035,575
2022/Bethmale_Eychelle/SM6936_415L_Bleu/Data/,415_bleu_lisiere,1,147.743589743589,52.9604196419571,177,164.68154158215,48.2405442085211,185,179.444501018329,45.3231492366383,185,190.375715922107,48.6599828121065,200
2022/Bethmale_Eychelle/SM6936_415L_Bleu/Data/,415_bleu_lisiere,2,10369.0769230769,14.6731651373495,10367,10368.7870182555,35.59538899751,10367,10368.2698574338,75.7757470226669,10367,10373.5172457681,163.515676911419,10372
2022/Bethmale_Eychelle/SM6936_415L_Bleu/Data/,415_bleu_lisiere,3,331.807692307692,1.62557833738225,332,332.200811359026,2.42833162346959,332,333.380855397148,3.66015036493828,332,334.105129184166,4.63378426737956,335
2022/Bethmale_Eychelle/SM6936_415L_Bleu/Data/,415_bleu_lisiere,4,530.435897435897,57.7120592969716,562,549.13387423935,53.1527548054484,570,566.016802443991,50.1491586042735,572,578.503881888761,53.6459932950722,589
2022/Bethmale_Eychelle/SM7113_256E_Rouge/Data/,256_rouge_estive,1,160.933333333333,41.3174162900935,185,173.709349593495,53.5728255383485,185,188.434915773353,50.8523443396633,200,196.515939811272,43.7097970017079,200
2022/Bethmale_Eychelle/SM7113_256E_Rouge/Data/,256_rouge_estive,2,10364.0266666666,18.1519316388703,10364,10366.0833333333,46.2839763869711,10366,10367.0837161817,91.4871134074379,10366,10374.1717674062,178.528386548281,10375.5
2022/Bethmale_Eychelle/SM7113_256E_Rouge/Data/,256_rouge_estive,3,332.466666666666,1.83545331972482,332,333.243902439024,4.19318351887944,333,334.181725370086,5.37929906986276,333,334.447207345065,6.12236695889757,334
2022/Bethmale_Eychelle/SM7113_256E_Rouge/Data/,256_rouge_estive,4,544.893333333333,44.9214346263438,571,559.715447154471,59.6336744401941,572,576.369065849923,56.8385773227374,588,585.458939046161,48.6150597498093,589
2022/Bethmale_Eychelle/SM7140_256L_Rouge/Data/,256_rouge_lisiere,1,191.111111111111,44.5548628375078,185,195.468041237113,50.1192547858304,216,194.322810590631,51.1227474273844,200,198.778301286132,45.1904680881691,200
2022/Bethmale_Eychelle/SM7140_256L_Rouge/Data/,256_rouge_lisiere,2,10327.4567901234,18.5898215763331,10328,10328.6907216494,45.714930409723,10329,10331.1537678207,91.1178529003405,10331,10341.199923596,177.704755922837,10340
2022/Bethmale_Eychelle/SM7140_256L_Rouge/Data/,256_rouge_lisiere,3,336.555555555555,2.21665970480666,337,336.40206185567,4.03147358343148,337,336.017311608961,5.55106874928737,336,335.263593531134,5.73257286214785,336
2022/Bethmale_Eychelle/SM7140_256L_Rouge/Data/,256_rouge_lisiere,4,580.283950617283,49.5553648645811,574,584.901030927834,56.1371525448559,608,583.422606924643,57.1994813804261,590,587.879663822742,50.133415892626,591
