station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Mijanes_Trabesses/SM5744_530E_Bleu/Data/,530_bleu_estive,1,142.602564102564,40.5030355758833,169,160.608519269776,37.789945866036,169,163.457419683834,47.2175123226075,185,159.28154845282,55.590178865461,169
2022/Mijanes_Trabesses/SM5744_530E_Bleu/Data/,530_bleu_estive,2,9878.42307692307,15.836115192139,9879,9875.14807302231,36.4726186069968,9876,9872.63590005099,68.9892645967131,9865,9888.04329555583,118.324918589833,9863
2022/Mijanes_Trabesses/SM5744_530E_Bleu/Data/,530_bleu_estive,3,316.294871794871,1.32150821333899,316,317.166328600405,2.40197731881355,317,317.772565017848,4.43104365614833,317,319.627785559658,7.92158031977352,317
2022/Mijanes_Trabesses/SM5744_530E_Bleu/Data/,530_bleu_estive,4,505.243589743589,43.5731586095879,532,525.290060851927,41.0036737407724,538,528.829168791432,52.5073403554301,547,525.824652998853,63.052145872232,544
2022/Mijanes_Trabesses/SM7137_530L_Bleu/Data/,530_bleu_lisiere,1,169.857142857142,37.7784774451075,154,161.596348884381,45.9065253955302,169,168.735099337748,54.2735015057367,185,166.963047910295,53.0457403694468,169
2022/Mijanes_Trabesses/SM7137_530L_Bleu/Data/,530_bleu_lisiere,2,9913.61038961039,15.9594908001931,9914,9912.65720081135,38.2799304721359,9911,9907.56851757514,73.1540971016949,9901,9908.55466360856,124.940525376719,9888
2022/Mijanes_Trabesses/SM7137_530L_Bleu/Data/,530_bleu_lisiere,3,321.077922077922,1.18174682244959,321,320.841784989858,2.79584566820556,321,321.322975038206,5.65123358858348,321,322.494266055045,9.74398153181294,320
2022/Mijanes_Trabesses/SM7137_530L_Bleu/Data/,530_bleu_lisiere,4,538.636363636363,41.2930323643323,523,529.590263691683,50.1736383201718,539,537.595517065715,60.5226718319687,550,536.516564729867,61.5835064600378,547
2022/Mijanes_Trabesses/SM5810_373E_Rouge/Data/,373_rouge_estive,1,173.128205128205,15.5385038503274,169,164.320486815415,33.7278020481669,169,172.955680081507,38.1329226281512,185,167.549828178694,54.3147656618645,185
2022/Mijanes_Trabesses/SM5810_373E_Rouge/Data/,373_rouge_estive,2,9884.91025641025,12.135121625156,9886,9883.56795131845,26.7557115523217,9888,9875.20835455934,47.7471039040082,9884,9881.10907471044,73.6015397377805,9893
2022/Mijanes_Trabesses/SM5810_373E_Rouge/Data/,373_rouge_estive,3,319.461538461538,1.08240363688233,319,319.965517241379,2.85711587832862,320,320.902190524707,5.02663413516993,322,321.36107929235,6.792480420052,322
2022/Mijanes_Trabesses/SM5810_373E_Rouge/Data/,373_rouge_estive,4,540.730769230769,17.4581353286046,537,531.403651115618,37.1882081636901,537,541.220071319409,43.4348513449176,554,535.765050273641,61.1034091603945,545
2022/Mijanes_Trabesses/SM6988_373L_Rouge/Data/,373_rouge_lisiere,1,207.233766233766,26.1974996843513,185,196.709939148073,33.7700589117189,185,177.794492605813,47.8242798615238,185,171.847967376067,58.0775877309472,185
2022/Mijanes_Trabesses/SM6988_373L_Rouge/Data/,373_rouge_lisiere,2,9883.50649350649,2.90375205831895,9883,9883.5172413793,7.77434062194576,9883,9883.58235594084,25.2817368068171,9886,9904.47521345737,71.9119196745957,9909
2022/Mijanes_Trabesses/SM6988_373L_Rouge/Data/,373_rouge_lisiere,3,326.727272727272,0.975496725102021,327,326.225152129817,2.14675003839843,327,325.247322794492,4.14949161897039,327,325.065247865426,7.56563054393519,327
2022/Mijanes_Trabesses/SM6988_373L_Rouge/Data/,373_rouge_lisiere,4,582.506493506493,28.6604045505851,559,570.772819472616,37.5183134668581,559,549.6364099949,52.7981336511583,556,543.449853447177,65.6079527839534,555
