station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Sentein_Eylie/SM6989_245E_Bleu/Data/,245_bleu_estive,1,169.5625,35.0463420880125,185,167.150205761316,36.9696804641345,185,181.716539440203,37.0722224253737,185,187.239495798319,41.700797594786,185
2022/Sentein_Eylie/SM6989_245E_Bleu/Data/,245_bleu_estive,2,10565.4249999999,9.01217925920251,10566,10565.4259259259,23.1341957951678,10564,10562.4310432569,51.2738290974169,10560,10558.2298192004,108.258356168042,10547
2022/Sentein_Eylie/SM6989_245E_Bleu/Data/,245_bleu_estive,3,331.175,0.877140239642441,331,331.48353909465,1.32043788157144,332,332.900254452926,2.75130779662005,332,332.940030557677,4.38993736722888,332
2022/Sentein_Eylie/SM6989_245E_Bleu/Data/,245_bleu_estive,4,557.524999999999,38.5580649799753,574,555.232510288065,40.6154485786596,575,571.927226463104,40.9621099256309,575,577.89584924879,46.1968761168956,576
2022/Sentein_Eylie/SM7208_245L_Bleu/Data/,245_bleu_lisiere,1,167.734177215189,70.0845256148041,185,199.971544715447,54.6873523528976,231,199.530788804071,46.4577259330335,200,186.478930617441,51.0119945244418,185
2022/Sentein_Eylie/SM7208_245L_Bleu/Data/,245_bleu_lisiere,2,10477.3924050632,13.3449063164721,10477,10479.0609756097,33.3092851483931,10478.5,10478.4071246819,61.3067633852147,10484,10475.0201145767,109.786331930664,10484
2022/Sentein_Eylie/SM7208_245L_Bleu/Data/,245_bleu_lisiere,3,337.113924050632,0.954500887165006,337,337.154471544715,1.86770813132684,338,336.028498727735,2.89057466937104,337,333.757861234882,5.17342093386726,334
2022/Sentein_Eylie/SM7208_245L_Bleu/Data/,245_bleu_lisiere,4,558.32911392405,76.3799167584319,577,593.394308943089,59.912733015345,627,591.976590330788,51.3244378953131,593,576.090642902609,58.0945797720108,576
2022/Sentein_Eylie/SM7112_244E_Rouge/Data/,244_rouge_estive,1,188.224999999999,17.6528857414304,185,184.173553719008,24.8985305039348,185,189.846466700559,25.9616630362406,200,203.241278329513,35.3620219599004,200
2022/Sentein_Eylie/SM7112_244E_Rouge/Data/,244_rouge_estive,2,10570.4125,13.0850045376377,10570.5,10571.3078512396,32.0533236684239,10572,10572.133197763,64.6732473934302,10572,10567.6858925388,128.182959713044,10567
2022/Sentein_Eylie/SM7112_244E_Rouge/Data/,244_rouge_estive,3,334.824999999999,1.09287464971971,335,334.5,1.9407547309281,335,334.767158108795,3.03272763630837,335,334.019607843137,5.36988106596536,334
2022/Sentein_Eylie/SM7112_244E_Rouge/Data/,244_rouge_estive,4,580.475,19.1793997559882,578,575.785123966942,27.4544571375972,578,582.168276563294,28.7810423509843,591,596.109625668449,39.2402942026913,592
2022/Sentein_Eylie/SM7138_244L_Rouge/Data/,244_rouge_lisiere,1,210.166666666666,30.6089548932681,231,215.075510204081,31.193150939846,231,221.103658536585,30.1664829559587,231,198.125095444133,49.6314388156113,200
2022/Sentein_Eylie/SM7138_244L_Rouge/Data/,244_rouge_lisiere,2,10453.6923076923,15.4913604477047,10456,10453.4653061224,34.3880588613725,10456,10454.1163617886,65.8038102210573,10456,10459.1220412318,125.036817160047,10458
2022/Sentein_Eylie/SM7138_244L_Rouge/Data/,244_rouge_lisiere,3,339.243589743589,0.819410316988451,339,339.602040816326,2.06001682140132,340,339.381605691056,2.42010697014812,340,335.250827182489,5.18250060297004,336
2022/Sentein_Eylie/SM7138_244L_Rouge/Data/,244_rouge_lisiere,4,605.346153846153,33.2834859040493,628,610.620408163265,34.3543181469754,628,617.020325203252,33.1977873181495,628,589.394247900229,56.3826153645619,594
