CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
375_rouge_estive,1,148.0625,48.909953933223,185,171.037190082644,39.2414472067636,185,172.802838317283,37.3763635403183,185,174.770356234096,37.4118208262001,185
375_rouge_lisiere,1,149.4375,38.8551295680506,154,169.739669421487,39.6619808362826,185,168.81272264631,43.4250375237115,185,178.830255953138,41.6507657728803,185
374_bleu_estive,1,185.025316455696,13.8664285268316,185,181.563524590163,25.439418181502,185,179.506374298827,34.4442744440825,185,183.158665478161,37.9346927581956,185
374_bleu_lisiere,1,170.12987012987,7.68596401502613,169,175.248472505091,19.136964069494,169,175.295315682281,35.534418048434,185,181.41110545084,41.2847716204645,185
373_rouge_estive,1,173.128205128205,15.5385038503274,169,164.320486815415,33.7278020481669,169,172.955680081507,38.1329226281512,185,167.549828178694,54.3147656618645,185
373_rouge_lisiere,1,207.233766233766,26.1974996843513,185,196.709939148073,33.7700589117189,185,177.794492605813,47.8242798615238,185,171.847967376067,58.0775877309472,185
530_bleu_estive,1,142.602564102564,40.5030355758833,169,160.608519269776,37.789945866036,169,163.457419683834,47.2175123226075,185,159.28154845282,55.590178865461,169
530_bleu_lisiere,1,169.857142857142,37.7784774451075,154,161.596348884381,45.9065253955302,169,168.735099337748,54.2735015057367,185,166.963047910295,53.0457403694468,169
372_rouge_estive,1,177.77922077922,38.1434828314051,185,170.028513238289,41.2741961576673,185,162.476821192052,47.7822029385292,185,163.222533775172,50.0096389587812,185
372_rouge_lisiere,1,178.51948051948,12.3399997785792,185,182.730769230769,34.358940998433,185,168.170744138634,50.2951523002962,185,163.538471337579,53.4815199723663,185
529_bleu_estive,1,185,0,185,181.864476386036,18.8911860548098,185,185.077275038129,35.648742887273,185,193.904519414385,40.6957229950583,194
