file_name,station_name,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,ROItotal,ROIcover,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
SMA04610_20220531_170516.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,307.4,-0.07970284,0.0027981417,4.62526450476951,145.37276629395754,72.63513565063477,-18.821627,6.9156739711761475,0.11452985,0.7972176626895734,0.24,450,12.381237745285034,0.24000000000000002,0.14545454545454548,1.650880469583778,0.0020876394,9.198574E-7,1.1718591444101998,9.35728278967395,17,67.31747142555469,-25.682528230306545,-41.3593254649275,15.676797234620956,0.9429026034654537,0.037008295254123746,0.16881656410065116,0.0805471503117079,0.21096906667787996,23.694802429995164,3.7638233823293437,403.8553,0.18530567,1.4549085,2.508226,3.649239,2563.82475,10.695824,1.9829576481353115,0.39302875415278643,0.2919711025367375,0.349204099329166,0.39381003201707576,0.3420011506136606,640.91015625,26.684300899505615,0.24772899713180363,0.3501604963867055,0.69452337701882,0.74944526,0.33331798220630543,4.992854595184326,6.8800364,66457.59094180501,0.9958238415420055,0.8253875847067986,5.73353,0,0.0,702_bleu_estive,1,178.363636363636,12.6336070991344,185,178.699186991869,29.8555288173735,185,184.018858307849,38.4795661929134,185,194.272588250286,43.6324417720146,185
SMA04610_20220531_170516.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,307.4,-0.07970284,0.0027981417,4.62526450476951,145.37276629395754,72.63513565063477,-18.821627,6.9156739711761475,0.11452985,0.7972176626895734,0.24,450,12.381237745285034,0.24000000000000002,0.14545454545454548,1.650880469583778,0.0020876394,9.198574E-7,1.1718591444101998,9.35728278967395,17,67.31747142555469,-25.682528230306545,-41.3593254649275,15.676797234620956,0.9429026034654537,0.037008295254123746,0.16881656410065116,0.0805471503117079,0.21096906667787996,23.694802429995164,3.7638233823293437,403.8553,0.18530567,1.4549085,2.508226,3.649239,2563.82475,10.695824,1.9829576481353115,0.39302875415278643,0.2919711025367375,0.349204099329166,0.39381003201707576,0.3420011506136606,640.91015625,26.684300899505615,0.24772899713180363,0.3501604963867055,0.69452337701882,0.74944526,0.33331798220630543,4.992854595184326,6.8800364,66457.59094180501,0.9958238415420055,0.8253875847067986,5.73353,0,0.0,702_bleu_estive,2,10363.6493506493,8.96278921360057,10363,10360.4329268292,21.4380742988975,10360,10357.3134556574,42.0546961016867,10356.5,10348.4530393781,81.2965616416432,10342
SMA04610_20220531_170516.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,307.4,-0.07970284,0.0027981417,4.62526450476951,145.37276629395754,72.63513565063477,-18.821627,6.9156739711761475,0.11452985,0.7972176626895734,0.24,450,12.381237745285034,0.24000000000000002,0.14545454545454548,1.650880469583778,0.0020876394,9.198574E-7,1.1718591444101998,9.35728278967395,17,67.31747142555469,-25.682528230306545,-41.3593254649275,15.676797234620956,0.9429026034654537,0.037008295254123746,0.16881656410065116,0.0805471503117079,0.21096906667787996,23.694802429995164,3.7638233823293437,403.8553,0.18530567,1.4549085,2.508226,3.649239,2563.82475,10.695824,1.9829576481353115,0.39302875415278643,0.2919711025367375,0.349204099329166,0.39381003201707576,0.3420011506136606,640.91015625,26.684300899505615,0.24772899713180363,0.3501604963867055,0.69452337701882,0.74944526,0.33331798220630543,4.992854595184326,6.8800364,66457.59094180501,0.9958238415420055,0.8253875847067986,5.73353,0,0.0,702_bleu_estive,3,339.064935064935,0.610251435037441,339,339.497967479674,1.45319802048699,339,339.813455657492,2.95960958133421,340,340.199821587867,4.91117325635596,340
SMA04610_20220531_170516.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,307.4,-0.07970284,0.0027981417,4.62526450476951,145.37276629395754,72.63513565063477,-18.821627,6.9156739711761475,0.11452985,0.7972176626895734,0.24,450,12.381237745285034,0.24000000000000002,0.14545454545454548,1.650880469583778,0.0020876394,9.198574E-7,1.1718591444101998,9.35728278967395,17,67.31747142555469,-25.682528230306545,-41.3593254649275,15.676797234620956,0.9429026034654537,0.037008295254123746,0.16881656410065116,0.0805471503117079,0.21096906667787996,23.694802429995164,3.7638233823293437,403.8553,0.18530567,1.4549085,2.508226,3.649239,2563.82475,10.695824,1.9829576481353115,0.39302875415278643,0.2919711025367375,0.349204099329166,0.39381003201707576,0.3420011506136606,640.91015625,26.684300899505615,0.24772899713180363,0.3501604963867055,0.69452337701882,0.74944526,0.33331798220630543,4.992854595184326,6.8800364,66457.59094180501,0.9958238415420055,0.8253875847067986,5.73353,0,0.0,702_bleu_estive,4,569.285714285714,13.8412681864515,576,569.60569105691,32.5195845952254,576,575.467889908256,42.3182235855116,577,586.616413916146,48.6961819352317,579
SMA04610_20220531_173502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.081280775,0.00011913566,-0.00026158797428780855,3.43146241074502,71.29797458648682,-19.063114,0.06450915336608887,0.11138952,0.9990084906925865,0.0,0,,0.0,0.0,0.0,0.00026206113,1.6423103E-7,2.712637566001066,10.344095828324107,11,53.764525885454084,-39.235473642474545,-41.39935184714073,2.163878204666183,0.7034136282329103,0.02095837362506081,0.31140007743853293,0.2382647613568456,0.23889361099084205,58.124271141389166,6.173663532865698,330.03046,0.42068493,2.452353,0.06674082,0.16367204,2681.02325,0.25733814,1.996512273040458,0.3560363945326815,0.13145061981774897,0.1716915688367129,0.23425827107790823,0.1666482540688367,312.298828125,8.967511653900146,0.007433131003201708,0.12084820543126466,0.05406157192672185,0.7577774,0.3331508736591786,3.7551846504211426,5.378313,15084.407178208405,0.9805671498179436,0.8048211207968525,1.3734382,198,1.1311240995197438,702_bleu_estive,1,178.363636363636,12.6336070991344,185,178.699186991869,29.8555288173735,185,184.018858307849,38.4795661929134,185,194.272588250286,43.6324417720146,185
SMA04610_20220531_173502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.081280775,0.00011913566,-0.00026158797428780855,3.43146241074502,71.29797458648682,-19.063114,0.06450915336608887,0.11138952,0.9990084906925865,0.0,0,,0.0,0.0,0.0,0.00026206113,1.6423103E-7,2.712637566001066,10.344095828324107,11,53.764525885454084,-39.235473642474545,-41.39935184714073,2.163878204666183,0.7034136282329103,0.02095837362506081,0.31140007743853293,0.2382647613568456,0.23889361099084205,58.124271141389166,6.173663532865698,330.03046,0.42068493,2.452353,0.06674082,0.16367204,2681.02325,0.25733814,1.996512273040458,0.3560363945326815,0.13145061981774897,0.1716915688367129,0.23425827107790823,0.1666482540688367,312.298828125,8.967511653900146,0.007433131003201708,0.12084820543126466,0.05406157192672185,0.7577774,0.3331508736591786,3.7551846504211426,5.378313,15084.407178208405,0.9805671498179436,0.8048211207968525,1.3734382,198,1.1311240995197438,702_bleu_estive,2,10363.6493506493,8.96278921360057,10363,10360.4329268292,21.4380742988975,10360,10357.3134556574,42.0546961016867,10356.5,10348.4530393781,81.2965616416432,10342
SMA04610_20220531_173502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.081280775,0.00011913566,-0.00026158797428780855,3.43146241074502,71.29797458648682,-19.063114,0.06450915336608887,0.11138952,0.9990084906925865,0.0,0,,0.0,0.0,0.0,0.00026206113,1.6423103E-7,2.712637566001066,10.344095828324107,11,53.764525885454084,-39.235473642474545,-41.39935184714073,2.163878204666183,0.7034136282329103,0.02095837362506081,0.31140007743853293,0.2382647613568456,0.23889361099084205,58.124271141389166,6.173663532865698,330.03046,0.42068493,2.452353,0.06674082,0.16367204,2681.02325,0.25733814,1.996512273040458,0.3560363945326815,0.13145061981774897,0.1716915688367129,0.23425827107790823,0.1666482540688367,312.298828125,8.967511653900146,0.007433131003201708,0.12084820543126466,0.05406157192672185,0.7577774,0.3331508736591786,3.7551846504211426,5.378313,15084.407178208405,0.9805671498179436,0.8048211207968525,1.3734382,198,1.1311240995197438,702_bleu_estive,3,339.064935064935,0.610251435037441,339,339.497967479674,1.45319802048699,339,339.813455657492,2.95960958133421,340,340.199821587867,4.91117325635596,340
SMA04610_20220531_173502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.081280775,0.00011913566,-0.00026158797428780855,3.43146241074502,71.29797458648682,-19.063114,0.06450915336608887,0.11138952,0.9990084906925865,0.0,0,,0.0,0.0,0.0,0.00026206113,1.6423103E-7,2.712637566001066,10.344095828324107,11,53.764525885454084,-39.235473642474545,-41.39935184714073,2.163878204666183,0.7034136282329103,0.02095837362506081,0.31140007743853293,0.2382647613568456,0.23889361099084205,58.124271141389166,6.173663532865698,330.03046,0.42068493,2.452353,0.06674082,0.16367204,2681.02325,0.25733814,1.996512273040458,0.3560363945326815,0.13145061981774897,0.1716915688367129,0.23425827107790823,0.1666482540688367,312.298828125,8.967511653900146,0.007433131003201708,0.12084820543126466,0.05406157192672185,0.7577774,0.3331508736591786,3.7551846504211426,5.378313,15084.407178208405,0.9805671498179436,0.8048211207968525,1.3734382,198,1.1311240995197438,702_bleu_estive,4,569.285714285714,13.8412681864515,576,569.60569105691,32.5195845952254,576,575.467889908256,42.3182235855116,577,586.616413916146,48.6961819352317,579
SMA04610_20220531_180502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.08146418,0.0001474006,-0.017541003100166062,4.496345556049579,71.33533954620361,-18.922922,0.1790482997894287,0.11320196,0.9975070576598081,0.0,0,,0.0,0.0,0.0,0.0002781088,2.0986239E-7,2.8331824220688215,10.82984480994141,13,54.674648057400354,-38.325351818314566,-41.65262769177691,3.327275873462341,0.6865809600439969,0.026780748616902494,0.5269337503031646,0.413708544715391,0.24349299199821806,34.290991511596886,4.984819373754039,319.9157,0.59965897,3.9957407,0.056605846,0.22618228,2753.53425,0.292806,1.9499724762692117,0.3911198032002929,0.13017814629340776,0.1721334711846318,0.2214514407684098,0.1668587830176094,312.693359375,8.976597785949707,0.013213297091782284,0.12416724639122843,0.0932635436131874,0.7587125,0.3331312481507969,3.704104423522949,5.272573,13144.139731631127,0.9791203662753105,0.6018216113879302,1.3436713,170,1.927486326040555,702_bleu_estive,1,178.363636363636,12.6336070991344,185,178.699186991869,29.8555288173735,185,184.018858307849,38.4795661929134,185,194.272588250286,43.6324417720146,185
SMA04610_20220531_180502.wav,2022/Antras_Isard/SM4610_702E_Bleu/Data/,0.0,-0.08146418,0.0001474006,-0.017541003100166062,4.496345556049579,71.33533954620361,-18.922922,0.1790482997894287,0.11320196,0.9975070576598081,0.0,0,,0.0,0.0,0.0,0.0002781088,2.0986239E-7,2.8331824220688215,10.82984480994141,13,54.674648057400354,-38.325351818314566,-41.65262769177691,3.327275873462341,0.6865809600439969,0.026780748616902494,0.5269337503031646,0.413708544715391,0.24349299199821806,34.290991511596886,4.984819373754039,319.9157,0.59965897,3.9957407,0.056605846,0.22618228,2753.53425,0.292806,1.9499724762692117,0.3911198032002929,0.13017814629340776,0.1721334711846318,0.2214514407684098,0.1668587830176094,312.693359375,8.976597785949707,0.013213297091782284,0.12416724639122843,0.0932635436131874,0.7587125,0.3331312481507969,3.704104423522949,5.272573,13144.139731631127,0.9791203662753105,0.6018216113879302,1.3436713,170,1.927486326040555,702_bleu_estive,2,10363.6493506493,8.96278921360057,10363,10360.4329268292,21.4380742988975,10360,10357.3134556574,42.0546961016867,10356.5,10348.4530393781,81.2965616416432,10342
